cpu_usage,memory_usage,process_count,new_processes,file_acces_rate,label,file_access_rate
21.280118488328707,56.029959713421846,110,3,10.0,0,
27.758823182672394,40.42443550847607,92,1,13.0,0,
28.266781478188708,53.52251115102328,92,2,12.0,0,
16.325881621958892,51.945562857499326,111,1,14.0,0,
33.989221601889824,50.17280833706189,113,1,11.0,0,
31.499421673250513,41.123942311039556,116,2,18.0,0,
17.792699544558232,51.83480910772569,116,4,11.0,0,
15.476971146321443,42.30840256262704,94,1,10.0,0,
32.92500008875926,58.59159362372448,91,2,15.0,0,
34.55350670830508,52.90703922792987,94,2,15.0,0,
31.335798387046424,56.11564030416885,116,4,14.0,0,
19.634418268311478,55.9503461242349,109,2,16.0,0,
25.017642252504075,57.12262810874266,94,4,19.0,0,
34.75971419046334,45.30183665488994,97,2,10.0,0,
21.0706645517106,52.38039759837774,92,1,19.0,0,
15.37172473666911,50.342428902251605,114,3,11.0,0,
34.52287388311332,55.952216100931466,106,3,16.0,0,
19.184441801964986,42.986363027856925,92,1,18.0,0,
33.042474432085584,58.19360740043949,92,1,14.0,0,
26.55848656752,52.44421342588344,113,2,10.0,0,
26.7372753303518,56.37005572147608,101,3,14.0,0,
31.050425097205036,57.921330574267955,106,3,19.0,0,
32.83883347278701,54.77555500041434,101,2,11.0,0,
32.063028309553,47.09134898343113,113,1,17.0,0,
32.95006324075632,43.39430757119475,108,3,18.0,0,
26.64984256828312,53.41199281726399,109,3,15.0,0,
30.579446858578073,43.53753292678649,109,3,12.0,0,
18.299367228101392,43.701380852620694,107,3,18.0,0,
24.676834728915026,56.232822569443925,102,2,14.0,0,
25.28201600037132,55.93160438030239,95,4,11.0,0,
20.23741990379942,58.823882294561166,106,2,13.0,0,
29.103820818453055,41.83781425733642,116,4,10.0,0,
20.705570970746216,48.08595901225148,98,4,19.0,0,
21.67012554959623,50.90532662231127,117,4,12.0,0,
26.206683000326333,41.82411999367501,101,3,12.0,0,
28.183884374724038,40.361355215121165,90,4,19.0,0,
18.68445087952554,52.990951488153186,101,2,19.0,0,
16.624053037761485,49.6557855002211,116,2,12.0,0,
17.794594561851266,49.45366384067213,119,1,10.0,0,
15.947669304963842,51.66862688229513,99,4,16.0,0,
20.799535990803317,50.3001237799613,115,4,18.0,0,
26.519878312277648,41.91640455034211,116,2,13.0,0,
